DISCIP_OCDE,VALOR,PARTICIPACION_%
Ciencias Sociales,10978654,48.63
Ciencias Médicas,4018746,17.8
Exactas y Naturales,2558858,11.33
Ingeniería y Tecnología,2496454,11.06
Humanidades,1871592,8.29
Ciencias Agrícolas,651476,2.89
