ANIO,VALOR,VARIACION_%
2014,134234,
2015,139871,4.2
2016,119794,-14.35
2017,118983,-0.68
2018,126933,6.68
2019,125560,-1.08
2020,134488,7.11
2021,135465,0.73
2022,162168,19.71
2023,159730,-1.5
